Name	Set	ImageFile	Rarity	Deck	Type	Alignment	Attribute	Power	Resistance	Control	ERRATA	Text
Professional Sports	Limited	Professional_Sports,Puppet	U	Puppet	Organization	Violent, Fanatic		2	4	2		
Psychiatrists	Limited	Psychiatrists,Puppet	U	Puppet	Organization	Weird		2/2	6	0		
Punk Rockers	Limited	Punk_Rockers,Puppet	C	Puppet	Organization	Weird	Media	1	4	0		
Pyramid Marketing Schemes	Limited	Pyramid_Marketing_Schemes,Puppet	S	Puppet	Organization	Straight		1	2	1		
Recording Industry	Limited	Recording_Industry,Puppet	C	Puppet	Organization	Corporate	Media	2	1	2		
Red Cross	Limited	Red_Cross,Puppet	R	Puppet	Organization	Peaceful		2	4	2		
Reformed Church of Satan	Limited	Reformed_Church_of_Satan,Puppet	U	Puppet	Organization	Weird, Fanatic	Church, Magic	2	4	2		
Religious Reich	Limited	Religious_Reich,Puppet	C	Puppet	Organization	Conservative, Straight	Church	3/1	5	2		
Republicans	Limited	Republicans,Puppet	U	Puppet	Organization	Conservative		5/4	4	2		
Rifkinites	Limited	Rifkinites,Puppet	R	Puppet	Organization	Fanatic	Green	2	4	2		
Robot Sea Monsters	Limited	Robot_Sea_Monsters,Puppet	U	Puppet	Organization	Violent	Computer, Science, Secret	1/1	6	0		
Rosicrucians	Limited	Rosicrucians,Puppet	C	Puppet	Organization		Magic, Secret	1/1	4	1		
S.M.O.F.	Limited	SMOF,Puppet	R	Puppet	Organization	Weird		1	1	2		
Saturday Morning Cartoons	Limited	Saturday_Morning_Cartoons,Puppet	U	Puppet	Organization	Violent	Media	1/1	4	1		
Savings and Loans	Limited	Savings_and_Loans,Puppet	R	Puppet	Organization	Straight, Criminal	Bank	2	3	2		
Science Fiction Fans	Limited	Science_Fiction_Fans,Puppet	C	Puppet	Organization	Weird		1	5	0		
Secret Service	Limited	Secret_Service,Puppet	R	Puppet	Organization	Government, Violent		2	3	0		
Secular Humanists	Limited	Secular_Humanists,Puppet	U	Puppet	Organization	Liberal		2	5	1		
Semiconscious Liberation Army	Limited	Semiconscious_Liberation_Army,Puppet	C	Puppet	Organization	Liberal, Violent, Weird, Criminal	Communist	1	8	1		
Society for Creative Anarchism	Limited	Society_for_Creative_Anarchism,Puppet	C	Puppet	Organization	Violent, Weird		1	4	2		
South American Nazis	Limited	South_American_Nazis,Puppet	R	Puppet	Organization	Conservative, Violent		4/1	6	2		
Subliminals	Limited	Subliminals,Puppet	R	Puppet	Organization		Secret	2/2	4	0		
Supreme Court	Limited	Supreme_Court,Puppet	R	Puppet	Organization	Government, Peaceful		3/3	6	2		
Survivalists	Limited	Survivalists,Puppet	C	Puppet	Organization	Conservative, Violent, Fanatic		1	3	0		
Tabloids	Limited	Tabloids,Puppet	U	Puppet	Organization	Weird	Media	2/2	3	1		
Telephone Psychics	Limited	Telephone_Psychics,Puppet	C	Puppet	Organization	Peaceful, Criminal		2	4	1		
Templars	Limited	Templars,Puppet	C	Puppet	Organization	Conservative	Magic, Secret	3	6	1		
The Mafia	Limited	The_Mafia,Puppet	R	Puppet	Organization	Violent, Criminal		6	7	3		
The Men In Black	Limited	The_Men_In_Black,Puppet	R	Puppet	Organization	Weird, Criminal	Secret	2/2	6	0		
Tobacco Companies	Limited	Tobacco_Companies,Puppet	C	Puppet	Organization	Corporate, Straight		4	3	2		
Trading Card Games	Limited	Trading_Card_Games,Puppet	S	Puppet	Organization	Weird		1	2	0		
Trekkies	Limited	Trekkies,Puppet	C	Puppet	Organization	Corporate, Weird, Fanatic		1	4	1		
Triliberal Commission	Limited	Triliberal_Commission,Puppet	R	Puppet	Organization	Liberal, Straight		5	6	2		
TV Preachers	Limited	TV_Preachers,Puppet	C	Puppet	Organization	Straight, Fanatic	Church, Media	3/3	6	2		
Underground Newspapers	Limited	Underground_Newspapers,Puppet	R	Puppet	Organization	Liberal	Green, Media	1/1	5	1		
United Nations	Limited	United_Nations,Puppet	C	Puppet	Organization	Liberal		1	3	1		
Urban Gangs	Limited	Urban_Gangs,Puppet	C	Puppet	Organization	Violent		1	2	0		
Vampires	Limited	Vampires,Puppet	C	Puppet	Organization	Weird	Magic, Secret	2	5	1		
Video Games	Limited	Video_Games,Puppet	C	Puppet	Organization		Computer	2	3	1	Gives +1 Power to all your other (i.e. not itself) Computer Groups.	
Voudonistas	Limited	Voudonistas,Puppet	U	Puppet	Organization	Violent	Magic	1/1	6	1		
W.I.T.C.H.	Limited	WITCH,Puppet	C	Puppet	Organization	Violent, Weird, Fanatic	Magic	3/2	6	1		
Wall Street	Limited	Wall_Street,Puppet	C	Puppet	Organization	Corporate	Bank	4	3	3		
Wargamers	Limited	Wargamers,Puppet	C	Puppet	Organization	Weird	Computer	1	5	0		
Al Gore	Limited	Al_Gore,Puppet	C	Puppet	Personality	Liberal, Government	Computer, Green	1/1	4	2		
Bill Clinton	Limited	Bill_Clinton,Puppet	C	Puppet	Personality	Liberal (Sometimes), Government, Straight		4	2	2		
Bjorne	Limited	Bjorne,Puppet	C	Puppet	Personality	Peaceful	Media	1	4	1		
Count Dracula	Limited	Count_Dracula,Puppet	R	Puppet	Personality	Violent	Magic	2	7	1		
Dan Quayle	Limited	Dan_Quayle,Puppet	C	Puppet	Personality	Conservative, Straight		1	1	1		
Elvis	Limited	Elvis,Puppet	R	Puppet	Personality			1/1	4	1		
Fidel Castro	Limited	Fidel_Castro,Puppet	U	Puppet	Personality	Liberal, Government	Communist	1	6	0		
George Bush	Limited	George_Bush,Puppet	C	Puppet	Personality	Conservative (Sometimes), Straight		2	3	1		
Gordo Remora	Limited	Gordo_Remora,Puppet	C	Puppet	Personality	Liberal	Media	1	0	1		
Hillary Clinton	Limited	Hillary_Clinton,Puppet	C	Puppet	Personality	Liberal		2	4	1		
Imelda Marcos	Limited	Imelda_Marcos,Puppet	C	Puppet	Personality	Criminal		1*	1	1		
Jimmy Hoffa	Limited	Jimmy_Hoffa,Puppet	R	Puppet	Personality	Criminal		2	3	1		
Manuel Noriega	Limited	Manuel_Noriega,Puppet	U	Puppet	Personality	Government, Violent, Criminal		1	2	0		
Margaret Thatcher	Limited	Margaret_Thatcher,Puppet	U	Puppet	Personality	Conservative, Government, Straight		1	6	1		
Media Sensation	Limited	Media_Sensation,Puppet	C	Puppet	Personality		Media	1	1	0		
Nancy Reagan	Limited	Nancy_Reagan,Puppet	R	Puppet	Personality	Conservative, Straight	Media	2	6	1		
Ollie North	Limited	Ollie_North,Puppet	U	Puppet	Personality	Conservative, Criminal		1	2	1		
Prince Charles	Limited	Prince_Charles,Puppet	U	Puppet	Personality	Conservative	Green	2	5	1		
Princess Di	Limited	Princess_Di,Puppet	U	Puppet	Personality	Liberal, Peaceful, Straight		2	5	1		
Ronald Reagan	Limited	Ronald_Reagan,Puppet	C	Puppet	Personality	Conservative, Straight	Media	2	1	1		
Ross Perot	Limited	Ross_Perot,Puppet	R	Puppet	Personality	Conservative, Straight		2	6	2		
Saddam Hussein	Limited	Saddam_Hussein,Puppet	C	Puppet	Personality	Government, Violent		2	4	1		
Brazil	Limited	Brazil,Puppet	C	Puppet	Place	Government	Coastal, Huge, Nation	3	3	2		
California	Limited	California,Puppet	C	Puppet	Place	Liberal, Government, Weird	Coastal, Green, Huge	5	2	2		
Canada	Limited	Canada,Puppet	R	Puppet	Place	Liberal, Government, Peaceful	Coastal, Green, Huge, Nation	3	4	2		
Center for Disease Control	Limited	Center_for_Disease_Control,Puppet	U	Puppet	Place	Government, Peaceful	Science	1	2	0		
China	Limited	China,Puppet	R	Puppet	Place	Government	Coastal, Communist, Huge, Nation	4	4	1	Explicitly gets its +20 defense against Disasters.	
Dinosaur Park	Limited	Dinosaur_Park,Puppet	U	Puppet	Place	Corporate	Science	1	3	1		
England	Limited	England,Puppet	C	Puppet	Place	Government	Coastal, Huge, Nation	2/2	6	2		
Finland	Limited	Finland,Puppet	R	Puppet	Place	Liberal, Government	Coastal, Computer, Nation	2	5	1		
France	Limited	France,Puppet	C	Puppet	Place	Liberal, Government	Coastal, Huge, Nation	3	5	1		
Germany	Limited	Germany,Puppet	R	Puppet	Place	Conservative, Government		4	3	0		
Hawaii	Limited	Hawaii,Puppet	C	Puppet	Place	Corporate	Coastal	1	2	1		
Hollywood	Limited	Hollywood,Puppet	U	Puppet	Place	Liberal	Media	3/3	0	2		
Israel	Limited	Israel,Puppet	R	Puppet	Place	Government, Violent	Coastal, Nation	3/3	8	2		
Italy	Limited	Italy,Puppet	R	Puppet	Place	Liberal, Government	Coastal, Nation	3	6	1		
Japan	Limited	Japan,Puppet	C	Puppet	Place	Government, Peaceful	Coastal, Computer, Nation	6/4	8	3		
Las Vegas	Limited	Las_Vegas,Puppet	C	Puppet	Place	Corporate		2	1	1		
Moonbase	Limited	Moonbase,Puppet	C	Puppet	Place		Computer, Science, Space	3	6	1		
New York	Limited	New_York,Puppet	U	Puppet	Place	Government, Violent, Criminal	Coastal	7	8	3		
Orbit One	Limited	Orbit_One,Puppet	U	Puppet	Place		Computer, Science, Space	2	5	3	Can be affected by a Nuclear Disaster, but not an Earthquake.	
Pentagon	Limited	Pentagon,Puppet	C	Puppet	Place	Government, Violent, Straight		6	6	3		
Russia	Limited	Russia,Puppet	C	Puppet	Place	Government, Violent	Coastal, Huge, Nation	4	5	3		
Silicon Valley	Limited	Silicon_Valley,Puppet	U	Puppet	Place		Coastal, Computer, Science	3/2	3	0		
Stonehenge	Limited	Stonehenge,Puppet	C	Puppet	Place		Magic	3/3	4	0		
Switzerland	Limited	Switzerland,Puppet	C	Puppet	Place	Conservative, Government	Nation	1	6	1		
Texas	Limited	Texas,Puppet	R	Puppet	Place	Conservative, Government, Violent	Coastal, Huge	6	6	3		
The Great Pyramid	Limited	The_Great_Pyramid,Puppet	S	Puppet	Place		Magic	2/2	4	1		
Vatican City	Limited	Vatican_City,Puppet	C	Puppet	Place	Conservative, Peaceful	Church, Nation	4/4	6	3		
Angel's Feather	Limited	Angels_Feather,Puppet	C	Puppet	Resource	Artifact, Magic, Unique						
Ark of the Covenant	Limited	Ark_of_the_Covenant,Puppet	R	Puppet	Resource	Artifact, Magic, Unique						
Bigfoot	Limited	Bigfoot,Puppet	C	Puppet	Resource	Unique	ACTION					
Book of Kells	Limited	Book_of_Kells,Puppet	U	Puppet	Resource	Artifact, Magic, Unique						
Center for Weird Studies	Limited	Center_for_Weird_Studies,Puppet	C	Puppet	Resource	Unique						
Clipper Chip	Limited	Clipper_Chip,Puppet	C	Puppet	Resource						Limited to one per player.	
Crystal Skull	Limited	Crystal_Skull,Puppet	R	Puppet	Resource	Artifact, Magic, Unique						
Cyborg Soldiers	Limited	Cyborg_Soldiers,Puppet	R	Puppet	Resource	Gadget						
Death Mask	Limited	Death_Mask,Puppet	U	Puppet	Resource	Artifact, Magic, Unique						
Earthquake Projector	Limited	Earthquake_Projector,Puppet	C	Puppet	Resource	Gadget	ACTION					
Eliza	Limited	Eliza,Puppet	U	Puppet	Resource	Gadget					Limited to one per Group.	
Flying Saucer	Limited	Flying_Saucer,Puppet	C	Puppet	Resource	Artifact, Gadget, Unique						
Hallucinations	Limited	Hallucinations,Puppet	C	Puppet	Resource		ACTION					
Hammer of Thor	Limited	Hammer_of_Thor,Puppet	C	Puppet	Resource	Artifact, Magic, Unique	ACTION					
Hidden City	Limited	Hidden_City,Puppet	U	Puppet	Resource	Unique						
Hitler's Brain	Limited	Hitlers_Brain,Puppet	R	Puppet	Resource	Artifact, Unique						
Immortality Serum	Limited	Immortality_Serum,Puppet	R	Puppet	Resource							
Loch Ness Monster	Limited	Loch_Ness_Monster,Puppet	C	Puppet	Resource	Unique	ACTION					
Mercenaries	Limited	Mercenaries,Puppet	C	Puppet	Resource		ACTION					
Midas Mill	Limited	Midas_Mill,Puppet	C	Puppet	Resource	Artifact, Gadget, Unique						
Necronomicon	Limited	Necronomicon,Puppet	U	Puppet	Resource	Artifact, Magic, Unique						
Orbital Mind Control Lasers	Limited	Orbital_Mind_Control_Lasers,Puppet	C	Puppet	Resource	Gadget, Unique	ACTION					
Perpetual Motion Machine	Limited	Perpetual_Motion_Machine,Puppet	R	Puppet	Resource	Artifact, Gadget, Unique						
Principia Discordia	Limited	Principia_Discordia,Puppet	C	Puppet	Resource	Artifact, Unique						
Rogue Boomer	Limited	Rogue_Boomer,Puppet	C	Puppet	Resource							
Shroud of Turin	Limited	Shroud_of_Turin,Puppet	R	Puppet	Resource	Artifact, Magic, Unique						
Soulburner	Limited	Soulburner,Puppet	R	Puppet	Resource	Gadget, Magic, Unique						
Spear of Longinus	Limited	Spear_of_Longinus,Puppet	C	Puppet	Resource	Artifact, Magic, Unique						
Suicide Squad	Limited	Suicide_Squad,Puppet	U	Puppet	Resource							
The Bronze Head	Limited	The_Bronze_Head,Puppet	C	Puppet	Resource	Artifact, Magic, Unique						
The Frog God	Limited	The_Frog_God,Puppet	C	Puppet	Resource	Artifact, Magic	ACTION					
The Holy Grail	Limited	The_Holy_Grail,Puppet	R	Puppet	Resource	Artifact, Magic, Unique						
The Library at Alexandria	Limited	The_Library_at_Alexandria,Puppet	U	Puppet	Resource	Unique						
Warehouse 23	Limited	Warehouse_23,Puppet	U	Puppet	Resource	Unique						
Weather Satellite	Limited	Weather_Satellite,Puppet	U	Puppet	Resource	Gadget	ACTION ACTION				Gives a +10 (not a +8), to Tornado, Hurricane, and Rain of Frogs (not Tidal Wave).	
Xanadu	Limited	Xanadu,Puppet	C	Puppet	Resource	Unique						
Spontaneous Combustion	Assassins	Spontaneous_Combustion,Master	UR	Master	Assassination		Assassination!					
Drought	Assassins	Drought,Master	R	Master	Disaster		Disaster!					
Flesh-Eating Bacteria	Assassins	Flesh-Eating_Bacteria,Master	UR	Master	Disaster		Disaster!					
No Beer!	Assassins	No_Beer,Master	UR	Master	Disaster		Disaster!					
Oil Spill	Assassins	Oil_Spill,Master	R	Master	Disaster		Disaster!					
Blinded by Science	Assassins	Goal-_Blinded_by_Science,Master	C	Master	Goal							
Earth First!	Assassins	Goal-_Earth_First,Master	R	Master	Goal							
Population Reduction	Assassins	Goal-_Population_Reduction,Master	R	Master	Goal							
Society of Assassins	Assassins	SOCIETY_OF_ASSASSINS,Master	U4	Master	Illuminati			7/7				When one of your Fanatic groups attacks or defends, you may treat its Fanatic alignment as the same as that of any other Fanatic group. Your Fanatic groups also have Global Power equal to their Power. SPECIAL GOAL: Any Secret group counts double toward your total number of groups controlled, as long as none of your rivals control a Secret group with more power.
Global Warming	Assassins	Global_Warming,Master	C	Master	NWOB		Blue					
Interesting Times	Assassins	Interesting_Times,Master	R	Master	NWOB		Blue					
Watermelons	Assassins	Watermelons,Master	R	Master	NWOB		Blue					
Apathy	Assassins	Apathy,Master	R	Master	NWOR		Red					
Australian Rules	Assassins	Australian_Rules,Master	C	Master	NWOR		Red					
The Magic Goes Away	Assassins	The_Magic_Goes_Away,Master	R	Master	NWOR		Red					
Antitrust Legislation	Assassins	Antitrust_Legislation,Master	R	Master	NWOY		Yellow					
End of the World	Assassins	End_of_the_World,Master	C	Master	NWOY		Yellow					
Visualize Whirled Peas	Assassins	Visualize_Whirled_Peas,Master	R	Master	NWOY		Yellow					
A Brief Attack of Conscience	Assassins	A_Brief_Attack_of_Conscience,Master	C	Master	Plot	Zap!	Requires Illuminati Action					
Alien Abduction	Assassins	Alien_Abduction,Master	R	Master	Plot							
Anarchists Unite!	Assassins	Anarchists_Unite,Master	C	Master	Plot	Zap!	Requires Illuminati Action					
Anything Worth Doing Is Worth Overdoing	Assassins	Anything_Worth_Doing_Is_Worth_Overdoing,Master	C	Master	Plot	Zap!	Requires Illuminati Action					
Back to the Drawing Board	Assassins	Back_to_the_Drawing_Board,Master	U3	Master	Plot	Zap!	Requires Illuminati Action					
Back to the Salt Mines	Assassins	Back_to_the_Salt_Mines,Master	U3	Master	Plot							
Backfire	Assassins	Backfire,Master	U3	Master	Plot	Freeze!	Requires Illuminati or Magic Action					
Backmasquerade	Assassins	Backmasquerade,Master	C	Master	Plot							
Bait and Switch	Assassins	Bait_and_Switch,Master	C	Master	Plot	Zap!	Requires Illuminati Action					
Bar Codes	Assassins	Bar_Codes,Master	U3	Master	Plot		Requires Computer Action					
Beach Party	Assassins	Beach_Party,Master	C	Master	Plot							
Bite the Wax Tadpole	Assassins	Bite_the_Wax_Tadpole,Master	C	Master	Plot	Freeze!	Requires Illuminati or Media Action					
Brushfire War	Assassins	Brushfire_War,Master	C	Master	Plot	Zap!	Requires Illuminati Action					
Cat Juggling	Assassins	Cat_Juggling,Master	C	Master	Plot	Paralysis	Requires Illuminati or Violent Action(s)					
Cease-Fire	Assassins	Cease-Fire,Master	C	Master	Plot		Requires Discard					
Chain Letter	Assassins	Chain_Letter,Master	C	Master	Plot	Paralysis	Requires Illuminati or Weird Action(s)					
Contract on America	Assassins	Contract_on_America,Master	C	Master	Plot	Paralysis	Requires Illuminati or Conservative Action(s)					
Crackdown on Crime	Assassins	Crackdown_on_Crime,Master	C	Master	Plot	Paralysis	Requires Illuminati or Government Action(s)					
Crusade	Assassins	Crusade,Master	C	Master	Plot							
Death To All Fanatics	Assassins	Death_To_All_Fanatics,Master	C	Master	Plot	Paralysis	Requires Illuminati or Fanatic Action(s)					
Defection	Assassins	Defection,Master	C	Master	Plot		Requires Nation Action					
Dolphins	Assassins	Dolphins,Master	C	Master	Plot		Requires_Illuminati Action					
Don't Rock The Boat	Assassins	Dont_Rock_The_Boat,Master	C	Master	Plot	Zap!	Requires_Illuminati Action					
Don't Touch That Dial!	Assassins	Dont_Touch_That_Dial,Master	U3	Master	Plot		Requires Media Action					
Enough is Enough	Assassins	Enough_is_Enough,Master	C	Master	Plot	Paralysis	Draw No Plot Cards This Turn					
Every Year is Worse	Assassins	Every_Year_is_Worse,Master	C	Master	Plot	Paralysis	Requires Illuminati or Liberal Action(s)					
Exorcism	Assassins	Exorcism,Master	C	Master	Plot		Requires Discard					
Family Values	Assassins	Family_Values,Master	C	Master	Plot	Zap!	Requires_Illuminati Action					
Fickle Finger of Fate	Assassins	Fickle_Finger_of_Fate,Master	U3	Master	Plot	Zap!	Requires_Illuminati Action					
Five-Year Plan	Assassins	Five-Year_Plan,Master	U3	Master	Plot	Freeze!	Requires Illuminati or Communist Action					
Floating Point Error	Assassins	Floating_Point_Error,Master	U3	Master	Plot	Freeze!	Requires Illuminati or Computer Action					
Frankenfood	Assassins	Frankenfood,Master	C	Master	Plot		Requires Science Action					
Go Fish	Assassins	Go_Fish,Master	U3	Master	Plot							
Go, Lemmings, Go!	Assassins	Go_Lemmings_Go,Master	UR	Master	Plot							
Grave Robbers	Assassins	Grave_Robbers,Master	R	Master	Plot		May Require Magic Action(s)					
Hubble Trouble	Assassins	Hubble_Trouble,Master	C	Master	Plot	Freeze!	Requires Illuminati, Space, or Science Action					
Junk Bonds	Assassins	Junk_Bonds,Master	C	Master	Plot	Freeze!	Requires Illuminati or Bank Action					
Lab Explosion	Assassins	Lab_Explosion,Master	C	Master	Plot	Zap!	Requires Illuminati Action					
Let the Sunshine In	Assassins	Let_the_Sunshine_In,Master	C	Master	Plot	Freeze!	Requires Illuminati or Secret Action					
May Day	Assassins	May_Day,Master	C	Master	Plot							
Metric System	Assassins	Metric_System,Master	C	Master	Plot	Paralysis	Requires Illulminati or Government Action(s)					
My Karma Ran Over Your Dogma	Assassins	My_Karma_Ran_Over_Your_Dogma,Master	C	Master	Plot	Zap!	Requires_Illuminati Action					
Near Miss	Assassins	Near_Miss,Master	C	Master	Plot		Requires Illuminati Action or Discards					
Nevermore!	Assassins	Nevermore,Master	U3	Master	Plot							
Partition	Assassins	Partition,Master	C	Master	Plot							
Pave the Earth!	Assassins	Pave_the_Earth,Master	U3	Master	Plot	Freeze!	Requires Illuminati or Green Action					
Pizza for the Secret Meeting	Assassins	Pizza_for_the_Secret_Meeting,Master	C	Master	Plot							
Regi$tered Trademark	Assassins	Regi_tered_Trademark,Master	R	Master	Plot							
Reverse Whammy	Assassins	Reverse_Whammy,Master	C	Master	Plot		Requires Discard					
School Prayer	Assassins	School_Prayer,Master	C	Master	Plot	Freeze!	Requires Illuminati, Church, Liberal, or Conservative Action					
Secret Master	Assassins	Secret_Master,Master	UR	Master	Plot							
Security Leak	Assassins	Security_Leak,Master	U3	Master	Plot	Zap!	Requires_Illuminati Action					
Sorry, Wrong Number	Assassins	Sorry_Wrong_Number,Master	U3	Master	Plot	Zap!	Requires_Illuminati Action					
Strange Bedfellows	Assassins	Strange_Bedfellows,Master	S	Master	Plot							
Sudden European Vacation	Assassins	Sudden_European_Vacation,Master	R	Master	Plot							
Sufficiently Advanced Technology	Assassins	Sufficiently_Advanced_Technology,Master	C	Master	Plot							
Supernova	Assassins	Supernova,Master	C	Master	Plot		Requires Space Action(s0					
Supreme Court Nomination	Assassins	Supreme_Court_Nomination,Master	U3	Master	Plot							
Take The Money And Run	Assassins	Take_The_Money_And_Run,Master	C	Master	Plot	Zap!	Requires_Illuminati Action					
TANSTAAFL	Assassins	TANSTAAFL,Master	C	Master	Plot	Zap!	Requires_Illuminati Action					
Teflon Coating	Assassins	Teflon_Coating,Master	C	Master	Plot							
The Irish Flu	Assassins	The_Irish_Flu,Master	UR	Master	Plot							
The Meek Shall Inherit	Assassins	The_Meek_Shall_Inherit,Master	C	Master	Plot	Zap!	Requires_Illuminati Action					
This Was Only A Test	Assassins	This_Was_Only_A_Test,Master	C	Master	Plot							
Truck Bomb	Assassins	Truck_Bomb,Master	U3	Master	Plot							
Vile Secretions	Assassins	Vile_Secretions,Master	U3	Master	Plot	Paralysis	Requires Illuminati or Straight Action(s)					
Waiting Period	Assassins	Waiting_Period,Master	C	Master	Plot	Paralysis	Requires Illuminati or Peaceful Action(s)					
Whistle Blowers	Assassins	Whistle_Blowers,Master	C	Master	Plot	Paralysis	Requires Illuminati or Corporate Action(s)					
Witch Hunt	Assassins	Witch_Hunt,Master	C	Master	Plot							
You Are What You Eat	Assassins	You_Are_What_You_Eat,Master	C	Master	Plot							
Arms Dealers	Assassins	Arms_Dealers,Puppet	R	Puppet	Organization	Violent, Criminal		2	4	1		
Church of Violentology	Assassins	Church_of_Violentology,Puppet	R	Puppet	Organization	Corporate, Violent, Fanatic	Church	2	6	1		
Convenience Stores	Assassins	Convenience_Stores,Puppet	S	Puppet	Organization	Corporate		1	2	1		
Copy Shops	Assassins	Copy_Shops,Puppet	U3	Puppet	Organization			1	4	1		
Day Care Centers	Assassins	Day_Care_Centers,Puppet	U3	Puppet	Organization			1	2	0		
Dittoheads	Assassins	Dittoheads,Puppet	U3	Puppet	Organization	Fanatic		1	4	0		
Drug Companies	Assassins	Drug_Companies,Puppet	UR	Puppet	Organization	Corporate	Science	3/3	3	2		
EPA	Assassins	EPA,Puppet	U3	Puppet	Organization	Government	Green, Science	3	3	1		
Militia	Assassins	Militia,Puppet	UR	Puppet	Organization	Conservative, Violent		1	6	1		
Nutrition Nazis	Assassins	Nutrition_Nazis,Puppet	R	Puppet	Organization	Straight	Science	1	4	1		
Pale People In Black	Assassins	Pale_People_In_Black,Puppet	R	Puppet	Organization	Weird		1/1	2	0		
Recycling Centers	Assassins	Recycling_Centers,Puppet	U3	Puppet	Organization		Green	1	3	0		
Science Alarmists	Assassins	Science_Alarmists,Puppet	R	Puppet	Organization		Green, Science	1	4	1		
Shock Jocks	Assassins	Shock_Jocks,Puppet	R	Puppet	Organization	Weird	Media	1	5	1		
State Lotteries	Assassins	State_Lotteries,Puppet	U3	Puppet	Organization	Government		2	0	0		
Swingers	Assassins	Swingers,Puppet	R	Puppet	Organization	Liberal, Weird		1	1	1		
The Green Party	Assassins	The_Green_Party,Puppet	U3	Puppet	Organization	Liberal	Green	4/2	5	2		
The Thule Group	Assassins	The_Thule_Group,Puppet	UR	Puppet	Organization		Magic, Secret	1	6	0		
General Disorder	Assassins	General_Disorder,Puppet	R	Puppet	Personality	Violent, Weird	Science	1	6	1		
Lama Ramadingdong	Assassins	Lama_Ramadingdong,Puppet	U3	Puppet	Personality	Corporate, Peaceful, Weird	Green	1	1	1		
Lyndon LaRouche	Assassins	Lyndon_LaRouche,Puppet	R	Puppet	Personality	Conservative, Weird, Criminal, Fanatic		1	8	1		
Newt Gingrich	Assassins	Newt_Gingrich,Puppet	R	Puppet	Personality	Conservative, Government	Science, Space	3	6	2		
Teddy Kennedy	Assassins	Teddy_Kennedy,Puppet	U3	Puppet	Personality	Liberal, Government		4	4	2		
Vladimir Zhirinovsky	Assassins	Vladimir_Zhirinovsky,Puppet	U3	Puppet	Personality	Conservative, Violent	Communist	2	6	1		
Al Amarja	Assassins	Al_Amarja,Puppet	R	Puppet	Place	Weird	Coastal, Nation	2	8	1		
Australia	Assassins	Australia,Puppet	R	Puppet	Place	Conservative, Government	Coastal, Huge, Nation	3	6*	1		
Illuminati University	Assassins	Illuminati_University,Puppet	UR	Puppet	Place	Weird	Magic, Science	2	6	1		
Black Helicopters	Assassins	Black_Helicopters,Puppet	U3	Puppet	Resource		Unique					
Blivit	Assassins	Blivit,Puppet	U3	Puppet	Resource		ACTION, Gadget					
Killer Satellite	Assassins	Killer_Satellite,Puppet	U3	Puppet	Resource		ACTION, Gadget					
Lenin's Body	Assassins	Lenins_Body,Puppet	U3	Puppet	Resource		Unique					
Orgone Grinder	Assassins	Orgone_Grinder,Puppet	U3	Puppet	Resource		Gadget, Unique					
Power Satellite	Assassins	Power_Satellite,Puppet	U3	Puppet	Resource		Gadget					
Screaming Meme	Assassins	Screaming_Meme,Puppet	R	Puppet	Resource							
Spy Satellite	Assassins	Spy_Satellite,Puppet	R	Puppet	Resource		ACTION, Gadget					
The Big Prawn	Assassins	The_Big_Prawn,Puppet	R	Puppet	Resource		Gadget, Unique					
X-Ray Specs	Assassins	X-Ray_Specs,Puppet	R	Puppet	Resource		Gadget, Unique					
Arise!	Subgenius	Arise,Master	U	Master	Goal 							
Brag of the SubGenius	Subgenius	Brag_of_the_SubGenius,Master	U	Master	Goal 							
Cast Out False Prophets!	Subgenius	Cast_Out_False_Prophets,Master	U	Master	Goal 							
Science Cannot Remove the Terror of the Gods!	Subgenius	Science_Cannot_Remove_the_Terror_of_the_Gods,Master	U	Master	Goal 							
The Anti"Bob"	Subgenius	The_AntiBob,Master	U	Master	Goal 							
Church of the SubGenius 1	Subgenius	Church_of_the_SubGenius_1,Master	DC	Master	Illuminati 			7/7				The Church of the SubGenius may accumulate its Action tokens (Slack) each turn, though it can spend only one per action. It, and any SubGenius groups in its Power Structure, has +2 for direct control of any SubGenius group. SPECIAL GOAL: Up to three Slack (Illuminati) tokens on the Church of the SubGenius may count as groups toward your Basic Goal. This Goal cannot be combined with any other Goal.
Church of the SubGenius 2	Subgenius	Church_of_the_SubGenius_2,Master	DC	Master	Illuminati 			7/7				The Church of the SubGenius may accumulate its Action tokens (Slack) each turn, though it can spend only one per action. It, and any SubGenius groups in its Power Structure, has +2 for direct control of any SubGenius group. SPECIAL GOAL: Up to three Slack (Illuminati) tokens on the Church of the SubGenius may count as groups toward your Basic Goal. This Goal cannot be combined with any other Goal.
Church of the SubGenius 3	Subgenius	Church_of_the_SubGenius_3,Master	DC	Master	Illuminati 			7/7				The Church of the SubGenius may accumulate its Action tokens (Slack) each turn, though it can spend only one per action. It, and any SubGenius groups in its Power Structure, has +2 for direct control of any SubGenius group. SPECIAL GOAL: Up to three Slack (Illuminati) tokens on the Church of the SubGenius may count as groups toward your Basic Goal. This Goal cannot be combined with any other Goal.
